시점,세대수,인구수,남자인구,여자인구,한국인인구,한국인남자,한국인여자,외국인인구,외국인남자,외국인여자
2010,639001,1543555,776292,767263,1529818,769807,760011,13737,6485,7252
2011,648649,1549780,779422,770358,1536448,773278,763170,13332,6144,7188
2012,655301,1551531,780172,771359,1538630,774273,764357,12901,5899,7002
2013,664913,1555672,782828,772844,1542263,776498,765765,13409,6330,7079
2014,673978,1558885,785023,773862,1544442,778007,766435,14443,7016,7427
2015,685005,1564615,789001,775614,1549507,781434,768073,15108,7567,7541
2016,692254,1566639,789251,777388,1550806,781146,769660,15833,8105,7728
2017,700265,1567091,789577,777514,1550142,780635,769507,16949,8942,8007
2018,707245,1561313,786364,774949,1543052,776456,766596,18261,9908,8353
2019,719524,1560571,785770,774801,1541502,775386,766116,19069,10384,8685
